[2024-12-11 20:31:21] [class-ss-archive-creation-job.php:97] Starting a job; no job is presently running
[2024-12-11 20:32:36] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/nocturnalosis/wordpress/wp-content/plugins/elementor/assets/lib/animations/styles/e-animation-wobble-bottom.css
[2024-12-11 20:32:37] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/nocturnalosis/wordpress/wp-content/plugins/elementor/assets/lib/animations/styles/e-animation-wobble-bottom.min.css
[2024-12-11 20:32:37] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/nocturnalosis/wordpress/wp-content/plugins/elementor/assets/lib/animations/styles/e-animation-wobble-horizontal.css
[2024-12-11 20:32:38] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/nocturnalosis/wordpress/wp-content/plugins/elementor/assets/lib/animations/styles/e-animation-wobble-horizontal.min.css
[2024-12-11 20:32:38] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/nocturnalosis/wordpress/wp-content/plugins/elementor/assets/lib/animations/styles/e-animation-wobble-skew.css
[2024-12-11 20:32:38] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/nocturnalosis/wordpress/wp-content/plugins/elementor/assets/lib/animations/styles/e-animation-wobble-skew.min.css
[2024-12-11 20:32:39] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/nocturnalosis/wordpress/wp-content/plugins/elementor/assets/lib/animations/styles/e-animation-wobble-to-bottom-right.css
[2024-12-11 20:32:39] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/nocturnalosis/wordpress/wp-content/plugins/elementor/assets/lib/animations/styles/e-animation-wobble-to-bottom-right.min.css
[2024-12-11 20:32:40] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/nocturnalosis/wordpress/wp-content/plugins/elementor/assets/lib/animations/styles/e-animation-wobble-to-top-right.css
[2024-12-11 20:32:40] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/nocturnalosis/wordpress/wp-content/plugins/elementor/assets/lib/animations/styles/e-animation-wobble-to-top-right.min.css
[2024-12-11 20:32:40] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/nocturnalosis/wordpress/wp-content/plugins/elementor/assets/lib/animations/styles/e-animation-wobble-top.css
[2024-12-11 20:32:41] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/nocturnalosis/wordpress/wp-content/plugins/elementor/assets/lib/animations/styles/e-animation-wobble-top.min.css
[2024-12-11 20:32:41] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/nocturnalosis/wordpress/wp-content/plugins/elementor/assets/lib/animations/styles/e-animation-wobble-vertical.css
[2024-12-11 20:32:41] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/nocturnalosis/wordpress/wp-content/plugins/elementor/assets/lib/animations/styles/e-animation-wobble-vertical.min.css
[2024-12-11 20:32:42] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/nocturnalosis/wordpress/wp-content/plugins/elementor/assets/lib/animations/styles/fadeIn.css
[2024-12-11 20:32:42] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/nocturnalosis/wordpress/wp-content/plugins/elementor/assets/lib/animations/styles/fadeIn.min.css
[2024-12-11 20:32:43] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/nocturnalosis/wordpress/wp-content/plugins/elementor/assets/lib/animations/styles/fadeInDown.css
[2024-12-11 20:32:43] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/nocturnalosis/wordpress/wp-content/plugins/elementor/assets/lib/animations/styles/fadeInDown.min.css
[2024-12-11 20:32:43] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/nocturnalosis/wordpress/wp-content/plugins/elementor/assets/lib/animations/styles/fadeInLeft.css
[2024-12-11 20:32:44] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/nocturnalosis/wordpress/wp-content/plugins/elementor/assets/lib/animations/styles/fadeInLeft.min.css
[2024-12-11 20:32:44] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/nocturnalosis/wordpress/wp-content/plugins/elementor/assets/lib/animations/styles/fadeInRight.css
[2024-12-11 20:32:45] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/nocturnalosis/wordpress/wp-content/plugins/elementor/assets/lib/animations/styles/fadeInRight.min.css
[2024-12-11 20:32:45] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/nocturnalosis/wordpress/wp-content/plugins/elementor/assets/lib/animations/styles/fadeInUp.css
[2024-12-11 20:32:46] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/nocturnalosis/wordpress/wp-content/plugins/elementor/assets/lib/animations/styles/fadeInUp.min.css
[2024-12-11 20:32:46] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/nocturnalosis/wordpress/wp-content/plugins/elementor/assets/lib/animations/styles/flash.css
[2024-12-11 20:32:46] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/nocturnalosis/wordpress/wp-content/plugins/elementor/assets/lib/animations/styles/flash.min.css
[2024-12-11 20:32:47] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/nocturnalosis/wordpress/wp-content/plugins/elementor/assets/lib/animations/styles/headShake.css
[2024-12-11 20:32:47] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/nocturnalosis/wordpress/wp-content/plugins/elementor/assets/lib/animations/styles/headShake.min.css
[2024-12-11 20:32:48] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/nocturnalosis/wordpress/wp-content/plugins/elementor/assets/lib/animations/styles/jello.css
